Session_ID,Source,Duration_s,Outage_Duration_s,Distance_Travelled_m,ESKF_RMSE_m,AI_RMSE_m,ESKF_Drift_Pct,AI_Drift_Pct,SIH_Target_Check,Recovery_5s_Error_m
sample_01,SYNTHETIC,80.0,10.0,100.0,104.8,178.47,149.14,203.61,FAIL,211.0
sample_01,SYNTHETIC,80.0,30.0,300.0,244.06,199.35,146.06,74.35,FAIL,247.66
session_001,SYNTHETIC,120.0,10.0,100.0,94.69,154.64,134.04,176.3,FAIL,181.81
session_001,SYNTHETIC,120.0,30.0,300.0,217.15,170.96,129.53,62.37,FAIL,205.51
session_001,SYNTHETIC,120.0,60.0,450.05,621.84,199.16,305.49,44.75,FAIL,182.04
session_002,SYNTHETIC,120.0,10.0,100.0,91.99,140.7,130.13,161.09,FAIL,167.59
session_002,SYNTHETIC,120.0,30.0,300.0,211.75,157.48,126.79,57.66,FAIL,187.74
session_002,SYNTHETIC,120.0,60.0,450.05,614.02,183.93,302.84,39.75,FAIL,153.11
session_003,SYNTHETIC,120.0,10.0,100.0,114.92,159.05,162.96,179.8,FAIL,183.69
session_003,SYNTHETIC,120.0,30.0,300.0,267.03,173.39,159.65,62.9,FAIL,210.9
session_003,SYNTHETIC,120.0,60.0,450.05,747.87,202.11,361.5,45.66,FAIL,182.78
session_004,SYNTHETIC,120.0,10.0,100.0,98.41,170.29,141.88,197.79,FAIL,204.88
session_004,SYNTHETIC,120.0,30.0,300.0,244.89,188.64,150.75,65.63,FAIL,220.4
session_004,SYNTHETIC,120.0,60.0,450.05,728.22,219.23,356.4,48.49,FAIL,186.62
session_005,SYNTHETIC,120.0,10.0,100.0,101.89,179.07,145.99,204.13,FAIL,210.58
session_005,SYNTHETIC,120.0,30.0,300.0,241.99,197.31,145.66,71.38,FAIL,241.59
session_005,SYNTHETIC,120.0,60.0,450.05,694.96,232.98,339.74,52.41,FAIL,206.86
